abs_path,rel_path,parent_folder,filename,ext,size_bytes,size_mb,mime_guess,is_dicom_candidate,is_video_candidate,is_image_candidate
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000002.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000002.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000002.dcm,.dcm,2766888,2.639,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000003.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000003.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000003.dcm,.dcm,2766888,2.639,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000004.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000004.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000004.dcm,.dcm,2766888,2.639,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000005.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000005.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000005.dcm,.dcm,291585360,278.077,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000006.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000006.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000006.dcm,.dcm,2766888,2.639,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000007.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000007.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000007.dcm,.dcm,2075686,1.98,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000008.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000008.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000008.dcm,.dcm,2075688,1.98,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000009.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000009.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000009.dcm,.dcm,2766888,2.639,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000010.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000010.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000010.dcm,.dcm,2766888,2.639,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000011.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000011.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000011.dcm,.dcm,2766888,2.639,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000012.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000012.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000012.dcm,.dcm,230079630,219.421,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000013.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000013.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000013.dcm,.dcm,2075688,1.98,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000014.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000014.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000014.dcm,.dcm,2075688,1.98,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000015.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000015.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000015.dcm,.dcm,466990588,445.357,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000016.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000016.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000016.dcm,.dcm,2766888,2.639,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000017.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000017.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000017.dcm,.dcm,2766888,2.639,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000018.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000018.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000018.dcm,.dcm,309809278,295.457,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000019.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000019.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000019.dcm,.dcm,157222632,149.939,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000020.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000020.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000020.dcm,.dcm,2766888,2.639,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000021.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000021.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000021.dcm,.dcm,2075688,1.98,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000022.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000022.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000022.dcm,.dcm,2075688,1.98,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000023.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000023.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000023.dcm,.dcm,2766888,2.639,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000024.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000024.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000024.dcm,.dcm,145637982,138.891,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000025.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000025.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000025.dcm,.dcm,2766888,2.639,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000026.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/00000026.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,00000026.dcm,.dcm,2075688,1.98,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/LICENSE,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/LICENSE,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809,LICENSE,,2801,0.003,,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000001.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000001.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248,00000001.dcm,.dcm,2766888,2.639,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000002.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000002.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248,00000002.dcm,.dcm,2766888,2.639,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000003.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000003.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248,00000003.dcm,.dcm,2766888,2.639,application/dicom,True,False,False
