path,source_SeriesInstanceUID,PatientID,SOPInstanceUID,NumberOfFrames,temporal_type,decode_ok,decode_error,pixel_array_shape,pixel_dtype,representative_frame_index,frame_height,frame_width,aspect_ratio,pixel_min,pixel_max,pixel_mean,pixel_std,p01,p99,robust_dynamic_range,zero_fraction,wide_layout_candidate,preview_path
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079/00000021.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079,LiverUS-86,1.3.6.1.4.1.14519.5.2.1.1188.2803.351951877842162699168193216826,1,single_frame,True,,"(720, 1280, 3)",uint8,0,720,1280,1.7778,0.0,255.0,43.10480117797852,43.0844612121582,0.0,151.8719940185547,151.8719940185547,0.3197829861111111,True,qc/week2_preview_frames/LiverUS-86__1.3.6.1.4.1.14519.5.2.1.1188.2803.351951877842162699168193216826__f0000.png
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079/00000022.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.107705246080914591037161918079,LiverUS-86,1.3.6.1.4.1.14519.5.2.1.1188.2803.109128641321252974865522072507,1,single_frame,True,,"(720, 960, 3)",uint8,0,720,960,1.3333,0.0,255.0,40.71249008178711,55.8574333190918,0.0,210.0,210.0,0.491066261574074,False,qc/week2_preview_frames/LiverUS-86__1.3.6.1.4.1.14519.5.2.1.1188.2803.109128641321252974865522072507__f0000.png
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.112528579221514439480091026530/00000001.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.112528579221514439480091026530,LiverUS-63,1.3.6.1.4.1.14519.5.2.1.1188.2803.163804137353968664504512556540,66,multi_frame_cine,True,,"(66, 649, 850, 3)",uint8,33,649,850,1.3097,0.0,255.0,38.04153060913086,42.7158088684082,0.0,152.0,152.0,0.4315689295749116,False,qc/week2_preview_frames/LiverUS-63__1.3.6.1.4.1.14519.5.2.1.1188.2803.163804137353968664504512556540__f0033.png
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.112528579221514439480091026530/00000002.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.112528579221514439480091026530,LiverUS-63,1.3.6.1.4.1.14519.5.2.1.1188.2803.565742483140760164811088550544,41,multi_frame_cine,True,,"(41, 649, 1170, 3)",uint8,20,649,1170,1.8028,0.0,255.0,29.17919158935547,48.986793518066406,0.0,185.0,185.0,0.6180883146984842,True,qc/week2_preview_frames/LiverUS-63__1.3.6.1.4.1.14519.5.2.1.1188.2803.565742483140760164811088550544__f0020.png
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.112528579221514439480091026530/00000003.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.112528579221514439480091026530,LiverUS-63,1.3.6.1.4.1.14519.5.2.1.1188.2803.975524077793784850776740286586,46,multi_frame_cine,True,,"(46, 649, 1170, 3)",uint8,23,649,1170,1.8028,0.0,255.0,27.69491195678711,45.51481246948242,0.0,173.7118682861328,173.7118682861328,0.5548417684010905,True,qc/week2_preview_frames/LiverUS-63__1.3.6.1.4.1.14519.5.2.1.1188.2803.975524077793784850776740286586__f0023.png
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.112528579221514439480091026530/00000004.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.112528579221514439480091026530,LiverUS-63,1.3.6.1.4.1.14519.5.2.1.1188.2803.555543850058111507914660414414,54,multi_frame_cine,True,,"(54, 649, 1170, 3)",uint8,27,649,1170,1.8028,0.0,255.0,27.29987525939941,45.62897109985352,0.0,173.0,173.0,0.5904903006597921,True,qc/week2_preview_frames/LiverUS-63__1.3.6.1.4.1.14519.5.2.1.1188.2803.555543850058111507914660414414__f0027.png
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.112528579221514439480091026530/00000005.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.112528579221514439480091026530,LiverUS-63,1.3.6.1.4.1.14519.5.2.1.1188.2803.284249536630602246053934652491,55,multi_frame_cine,True,,"(55, 649, 1170, 3)",uint8,27,649,1170,1.8028,0.0,255.0,29.58623313903809,45.99178695678711,0.0,175.0,175.0,0.4926500994297604,True,qc/week2_preview_frames/LiverUS-63__1.3.6.1.4.1.14519.5.2.1.1188.2803.284249536630602246053934652491__f0027.png
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.112528579221514439480091026530/00000006.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.112528579221514439480091026530,LiverUS-63,1.3.6.1.4.1.14519.5.2.1.1188.2803.123746089700160762822706525332,54,multi_frame_cine,True,,"(54, 649, 1170, 3)",uint8,27,649,1170,1.8028,0.0,255.0,27.834266662597656,46.712982177734375,0.0,174.95999145507812,174.95999145507812,0.6166093793212437,True,qc/week2_preview_frames/LiverUS-63__1.3.6.1.4.1.14519.5.2.1.1188.2803.123746089700160762822706525332__f0027.png
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.112528579221514439480091026530/00000007.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.112528579221514439480091026530,LiverUS-63,1.3.6.1.4.1.14519.5.2.1.1188.2803.176710748273606312904007021483,42,multi_frame_cine,True,,"(42, 649, 1170, 3)",uint8,21,649,1170,1.8028,0.0,255.0,27.625396728515625,44.64111709594727,0.0,170.22581481933594,170.22581481933594,0.5299197977164078,True,qc/week2_preview_frames/LiverUS-63__1.3.6.1.4.1.14519.5.2.1.1188.2803.176710748273606312904007021483__f0021.png
raw/week2_batch/extracted/1.3.6.1.4.1.14519.5.2.1.1188.2803.112528579221514439480091026530/00000008.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.112528579221514439480091026530,LiverUS-63,1.3.6.1.4.1.14519.5.2.1.1188.2803.317318043147315334424167508131,48,multi_frame_cine,True,,"(48, 649, 1170, 3)",uint8,24,649,1170,1.8028,0.0,255.0,28.617137908935547,48.22134399414063,0.0,181.18299865722656,181.18299865722656,0.6282196146602926,True,qc/week2_preview_frames/LiverUS-63__1.3.6.1.4.1.14519.5.2.1.1188.2803.317318043147315334424167508131__f0024.png
